N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
95,오리온,"100,800","상승
				100",+0.10%,500,"39,852","39,536",28.45,"86,499",10.20,13.91,
96,CJ제일제당,"264,500","하락
				7,500",-2.76%,"5,000","39,818","15,054",25.00,"70,715",8.61,5.55,
97,SK바이오사이언스,"50,800",보합0,0.00%,500,"39,800","78,347",7.09,"65,960",142.30,1.30,
98,포스코DX,"26,100",보합0,0.00%,500,"39,681","152,035",6.47,"431,999",47.28,21.08,
99,현대오토에버,"143,500","상승
				4,800",+3.46%,500,"39,353","27,424",1.69,"95,259",27.00,9.01,
100,GS,"42,150","하락
				350",-0.82%,"5,000","39,164","92,915",22.11,"108,233",3.07,10.05,
101,두산,"234,500",보합0,0.00%,"5,000","38,748","16,524",18.60,"90,449",-19.78,-22.74,
102,한국가스공사,"41,550","하락
				450",-1.07%,"5,000","38,356","92,313",8.23,"1,210,321",-22.89,-7.68,
103,롯데케미칼,"87,900","하락
				9,400",-9.66%,"5,000","37,600","42,775",24.16,"253,961",-13.47,-0.33,
104,LS,"115,500","상승
				4,000",+3.59%,"5,000","37,191","32,200",17.82,"238,863",7.60,9.63,
105,TIGER KOFR금리액티브(합성),"107,125","상승
				25",+0.02%,0,"37,121","34,652",0.00,"80,992",N/A,N/A,
106,강원랜드,"17,280","하락
				70",-0.40%,500,"36,969","213,940",13.27,"384,213",9.20,9.61,
107,현대차우,"154,700","하락
				800",-0.51%,"5,000","36,930","23,872",64.72,"68,286",3.35,N/A,
108,시프트업,"62,000","하락
				800",-1.27%,200,"36,168","58,335",1.84,"179,270",29.08,86.44,
109,삼성E&A,"18,360","하락
				110",-0.60%,"5,000","35,986","196,000",46.06,"469,601",4.84,24.45,
110,JB금융지주,"18,230","하락
				240",-1.30%,"5,000","35,564","195,083",36.96,"356,504",5.68,12.23,
111,금호석유,"121,000","하락
				15,300",-11.23%,"5,000","33,075","27,335",23.39,"458,334",8.86,7.77,
112,카카오페이,"24,550","하락
				900",-3.54%,500,"33,048","134,616",38.04,"215,889","1,067.39",0.14,
113,한화솔루션,"19,090","상승
				170",+0.90%,"5,000","32,814","171,893",19.28,"1,527,950",-2.88,-2.48,
114,키움증권,"128,300","상승
				700",+0.55%,"5,000","32,751","25,527",26.11,"69,051",7.57,9.27,
115,현대건설,"29,250","상승
				550",+1.92%,"5,000","32,572","111,356",22.25,"454,001",6.02,6.77,
116,현대제철,"24,100","하락
				150",-0.62%,"5,000","32,160","133,446",21.01,"232,827",-79.28,2.44,
117,BNK금융지주,"9,470","하락
				150",-1.56%,"5,000","30,345","320,437",38.52,"1,077,358",4.49,6.38,
118,CJ,"102,800","하락
				2,500",-2.37%,"5,000","29,994","29,177",15.67,"57,491",8.49,3.64,
119,KODEX 종합채권(AA-이상)액티브,"114,645","상승
				220",+0.19%,0,"29,228","25,494",0.00,"25,018",N/A,N/A,
120,TIGER 미국테크TOP10 INDXX,"22,895","상승
				250",+1.10%,0,"29,088","127,050",1.12,"4,649,792",N/A,N/A,
121,TIGER 미국필라델피아반도체나스닥,"19,495","상승
				240",+1.25%,0,"28,892","148,200",0.95,"2,073,859",N/A,N/A,
122,코스모신소재,"85,600","하락
				600",-0.70%,"1,000","27,829","32,511",14.18,"249,778",100.12,7.41,
123,현대해상,"30,200","하락
				250",-0.82%,500,"26,999","89,400",40.15,"213,440",2.91,7.81,
124,한전기술,"69,700","하락
				1,300",-1.83%,200,"26,639","38,220",8.49,"186,311",70.91,5.99,
125,동서,"26,400","상승
				250",+0.96%,500,"26,321","99,700",4.55,"323,351",15.83,9.23,
